year,name,pick,college,seasons,g,ws_48,bpm,vorp
2017,D.J. Wilson,17,Michigan,5,146,.075,-2.6,-0.3
2017,T.J. Leaf,18,UCLA,4,146,.104,-1.8,0.1
2017,John Collins,19,Wake Forest,6,363,.147,0.9,7.8
2017,Harry Giles,20,Duke,3,142,.079,-2.4,-0.2
2017,Terrance Ferguson,21,,4,204,.053,-4.0,-2.1
2017,Jarrett Allen,22,Texas,6,408,.189,1.9,11.0
2017,OG Anunoby,23,Indiana,6,367,.103,0.2,5.8
2017,Tyler Lydon,24,Syracuse,2,26,.084,-4.3,-0.1
2017,Anžejs Pasečņiks,25,,2,28,.038,-6.2,-0.5
2017,Caleb Swanigan,26,Purdue,3,75,-.015,-6.2,-0.7
2017,Kyle Kuzma,27,Utah,6,406,.057,-1.1,2.8
2017,Tony Bradley,28,UNC,6,179,.181,0.2,1.1
2017,Derrick White,29,Colorado,6,343,.120,1.4,7.9
2017,Josh Hart,30,Villanova,6,370,.100,0.0,5.2
2017,Frank Jackson,31,Duke,5,214,.031,-3.9,-1.9
2017,Davon Reed,32,Miami (FL),4,121,.054,-3.0,-0.3
2017,Wes Iwundu,33,Kansas State,5,226,.053,-3.9,-1.8
2017,Frank Mason III,34,Kansas,4,103,.035,-2.6,-0.3
2017,Ivan Rabb,35,California,2,85,.125,-1.7,0.1
2017,Jonah Bolden,36,,2,51,.098,-1.3,0.1
2017,Semi Ojeleye,37,SMU,5,284,.061,-3.4,-1.5
2017,Jordan Bell,38,Oregon,5,161,.121,0.2,1.1
2017,Jawun Evans,39,Oklahoma State,2,56,-.022,-5.4,-0.7
2017,Dwayne Bacon,40,Florida State,4,207,.010,-5.1,-3.1
2017,Tyler Dorsey,41,Oregon,3,107,.031,-3.0,-0.5
2017,Thomas Bryant,42,Indiana,6,228,.167,1.2,3.6
2017,Isaiah Hartenstein,43,,5,245,.163,1.0,2.9
2017,Damyean Dotson,44,Oregon,5,213,.034,-2.8,-0.9
2017,Dillon Brooks,45,Oregon,6,344,.034,-3.8,-4.5
2017,Sterling Brown,46,SMU,6,268,.071,-2.1,-0.1
2017,Ike Anigbogu,47,UCLA,2,14,.057,-1.1,0.0
2017,Sindarius Thornwell,48,South Carolina,4,160,.032,-3.1,-0.5
2017,Vlatko Čančar,49,,4,127,.087,-2.2,-0.1
2017,Mathias Lessort,50,,,,,,
2017,Monte Morris,51,Iowa State,6,342,.124,0.4,5.2
2017,Edmond Sumner,52,Xavier,5,160,.068,-3.0,-0.6
2017,Kadeem Allen,53,Arizona,3,47,.075,-1.2,0.1
2017,Alec Peters,54,Valparaiso,1,20,.055,-2.8,0.0
